Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     8700     0.00     0.00  void std::list<unsigned int, std::allocator<unsigned int> >::_M_initialize_dispatch<std::_List_const_iterator<unsigned int> >(std::_List_const_iterator<unsigned int>, std::_List_const_iterator<unsigned int>, std::__false_type)
  0.00      0.00     0.00     8688     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::list(std::list<unsigned int, std::allocator<unsigned int> > const&)
  0.00      0.00     0.00     8337     0.00     0.00  std::_Rb_tree_iterator<int>::_Rb_tree_iterator(std::_Rb_tree_node<int>*)
  0.00      0.00     0.00     8180     0.00     0.00  triangle::computeCenterRadius()
  0.00      0.00     0.00     7220     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::_M_transfer(std::_List_iterator<unsigned int>, std::_List_iterator<unsigned int>, std::_List_iterator<unsigned int>)
  0.00      0.00     0.00     7038     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key(std::_Rb_tree_node<int> const*)
  0.00      0.00     0.00     7038     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_value(std::_Rb_tree_node<int> const*)
  0.00      0.00     0.00     6894     0.00     0.00  point::setX(double)
  0.00      0.00     0.00     6894     0.00     0.00  point::setY(double)
  0.00      0.00     0.00     6006     0.00     0.00  insertFront(edgeNode*&, edgeNode*)
  0.00      0.00     0.00     6006     0.00     0.00  createNewNode(edge*)
  0.00      0.00     0.00     6006     0.00     0.00  edgeNode::~edgeNode()
  0.00      0.00     0.00     5865     0.00     0.00  point::getId()
  0.00      0.00     0.00     5762     0.00     0.00  gridElement::getX()
  0.00      0.00     0.00     5762     0.00     0.00  gridElement::getY()
  0.00      0.00     0.00     5762     0.00     0.00  gridElement::gridElement(int, int)
  0.00      0.00     0.00     5762     0.00     0.00  gridBound::getLowGridElement()
  0.00      0.00     0.00     5762     0.00     0.00  gridBound::getHighGridElement()
  0.00      0.00     0.00     5665     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<unsigned int> >::new_allocator()
  0.00      0.00     0.00     5653     0.00     0.00  std::allocator<std::_List_node<unsigned int> >::allocator()
  0.00      0.00     0.00     5653     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_List_impl::_List_impl()
  0.00      0.00     0.00     5653     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_List_base()
  0.00      0.00     0.00     5653     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::list()
  0.00      0.00     0.00     5334     0.00     0.00  _ZN9__gnu_cxx13new_allocatorISt10_List_nodeIjEE9constructIS2_IjEEEvPT_DpOT0_
  0.00      0.00     0.00     5334     0.00     0.00  std::_List_node<unsigned int>::_List_node<unsigned int>(unsigned int&&)
  0.00      0.00     0.00     5334     0.00     0.00  std::_List_node<unsigned int>* std::list<unsigned int, std::allocator<unsigned int> >::_M_create_node<unsigned int>(unsigned int&&)
  0.00      0.00     0.00     5334     0.00     0.00  void std::list<unsigned int, std::allocator<unsigned int> >::_M_insert<unsigned int>(std::_List_iterator<unsigned int>, unsigned int&&)
  0.00      0.00     0.00     5334     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::push_back(unsigned int&&)
  0.00      0.00     0.00     5334     0.00     0.00  std::remove_reference<unsigned int&>::type&& std::move<unsigned int&>(unsigned int&)
  0.00      0.00     0.00     5132     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::end()
  0.00      0.00     0.00     4380     0.00     0.00  std::_List_iterator<unsigned int>::operator==(std::_List_iterator<unsigned int> const&) const
  0.00      0.00     0.00     4379     0.00     0.00  std::__alloc_neq<std::allocator<std::_List_node<unsigned int> >, true>::_S_do_it(std::allocator<std::_List_node<unsigned int> > const&, std::allocator<std::_List_node<unsigned int> > const&)
  0.00      0.00     0.00     4379     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::_M_check_equal_allocators(std::list<unsigned int, std::allocator<unsigned int> >&)
  0.00      0.00     0.00     4379     0.00     0.00  std::remove_reference<std::list<unsigned int, std::allocator<unsigned int> >&>::type&& std::move<std::list<unsigned int, std::allocator<unsigned int> >&>(std::list<unsigned int, std::allocator<unsigned int> >&)
  0.00      0.00     0.00     4202     0.00     0.00  std::__alloc_swap<std::allocator<std::_List_node<unsigned int> >, true>::_S_do_it(std::allocator<std::_List_node<unsigned int> >&, std::allocator<std::_List_node<unsigned int> >&)
  0.00      0.00     0.00     4202     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::swap(std::list<unsigned int, std::allocator<unsigned int> >&)
  0.00      0.00     0.00     4002     0.00     0.00  edge::edge(point const&, point const&)
  0.00      0.00     0.00     3909     0.00     0.00  point::point(double, double, unsigned long long)
  0.00      0.00     0.00     3903     0.00     0.00  point::set(point)
  0.00      0.00     0.00     3896     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.00     0.00     3280     0.00     0.00  boundingBox::boundingBox(double, double, double, double)
  0.00      0.00     0.00     3280     0.00     0.00  triangle::outCode(point, point, point)
  0.00      0.00     0.00     3280     0.00     0.00  triangle::intersect(boundingBox)
  0.00      0.00     0.00     3210     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_end()
  0.00      0.00     0.00     3194     0.00     0.00  std::_Rb_tree_const_iterator<int>::_Rb_tree_const_iterator(std::_Rb_tree_node<int> const*)
  0.00      0.00     0.00     3190     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_begin()
  0.00      0.00     0.00     3189     0.00     0.00  std::_Rb_tree_const_iterator<int>::operator!=(std::_Rb_tree_const_iterator<int> const&) const
  0.00      0.00     0.00     3189     0.00     0.00  std::set<int, std::less<int>, std::allocator<int> >::end() const
  0.00      0.00     0.00     3189     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::end() const
  0.00      0.00     0.00     3184     0.00     0.00  std::_Rb_tree_const_iterator<int>::_Rb_tree_const_iterator(std::_Rb_tree_iterator<int> const&)
  0.00      0.00     0.00     3174     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.00     0.00     3173     0.00     0.00  std::_Rb_tree_iterator<int>::operator==(std::_Rb_tree_iterator<int> const&) const
  0.00      0.00     0.00     3168     0.00     0.00  std::set<int, std::less<int>, std::allocator<int> >::find(int const&)
  0.00      0.00     0.00     3168     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_lower_bound(std::_Rb_tree_node<int>*, std::_Rb_tree_node<int>*, int const&)
  0.00      0.00     0.00     3168     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::find(int const&)
  0.00      0.00     0.00     3054     0.00     0.00  triangle::triangle()
  0.00      0.00     0.00     2987     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::clear()
  0.00      0.00     0.00     2978     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::size() const
  0.00      0.00     0.00     2978     0.00     0.00  std::iterator_traits<std::_List_const_iterator<unsigned int> >::difference_type std::__distance<std::_List_const_iterator<unsigned int> >(std::_List_const_iterator<unsigned int>, std::_List_const_iterator<unsigned int>, std::input_iterator_tag)
  0.00      0.00     0.00     2978     0.00     0.00  std::iterator_traits<std::_List_const_iterator<unsigned int> >::iterator_category std::__iterator_category<std::_List_const_iterator<unsigned int> >(std::_List_const_iterator<unsigned int> const&)
  0.00      0.00     0.00     2978     0.00     0.00  std::iterator_traits<std::_List_const_iterator<unsigned int> >::difference_type std::distance<std::_List_const_iterator<unsigned int> >(std::_List_const_iterator<unsigned int>, std::_List_const_iterator<unsigned int>)
  0.00      0.00     0.00     2888     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00     2888     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00     2881     0.00     0.00  boundingBox::boundingBox(point, point)
  0.00      0.00     0.00     2881     0.00     0.00  domain::boundingGrid(boundingBox)
  0.00      0.00     0.00     2881     0.00     0.00  domain::mapLow(boundingBox, double, double)
  0.00      0.00     0.00     2881     0.00     0.00  domain::mapHigh(boundingBox, double, double)
  0.00      0.00     0.00     2881     0.00     0.00  triangle::triangle(triangle const&)
  0.00      0.00     0.00     2881     0.00     0.00  gridBound::gridBound(gridElement, gridElement)
  0.00      0.00     0.00     2217     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::merge(std::list<unsigned int, std::allocator<unsigned int> >&&)
  0.00      0.00     0.00     2217     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::merge(std::list<unsigned int, std::allocator<unsigned int> >&)
  0.00      0.00     0.00     2150     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::splice(std::_List_iterator<unsigned int>, std::list<unsigned int, std::allocator<unsigned int> >&&, std::_List_iterator<unsigned int>)
  0.00      0.00     0.00     2150     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::splice(std::_List_iterator<unsigned int>, std::list<unsigned int, std::allocator<unsigned int> >&, std::_List_iterator<unsigned int>)
  0.00      0.00     0.00     2068     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::_M_erase(std::_List_iterator<unsigned int>)
  0.00      0.00     0.00     2004     0.00     0.00  removeNode(edgeNode*&, edgeNode*&, edgeNode*&)
  0.00      0.00     0.00     2004     0.00     0.00  edge::edge(edge const&)
  0.00      0.00     0.00     2000     0.00     0.00  triangle::triangle(point const&, point const&, point const&)
  0.00      0.00     0.00     1998     0.00     0.00  triangle::colinear()
  0.00      0.00     0.00     1988     0.00     0.00  insertFront(triangleNode*&, triangleNode*)
  0.00      0.00     0.00     1988     0.00     0.00  triangleNode::~triangleNode()
  0.00      0.00     0.00     1986     0.00     0.00  createNewNode(triangle*)
  0.00      0.00     0.00     1986     0.00     0.00  triangle::isBad()
  0.00      0.00     0.00     1782     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::push_back(unsigned int const&)
  0.00      0.00     0.00     1501     0.00     0.00  triangle::distance(point, point)
  0.00      0.00     0.00     1334     0.00     0.00  removeNode(triangleNode*&, triangleNode*&, triangleNode*&)
  0.00      0.00     0.00     1334     0.00     0.00  triangle::getEdge1()
  0.00      0.00     0.00     1334     0.00     0.00  triangle::getEdge2()
  0.00      0.00     0.00     1334     0.00     0.00  triangle::getEdge3()
  0.00      0.00     0.00      664     0.00     0.00  removeLinkList(edgeNode*&)
  0.00      0.00     0.00      332     0.00     0.00  point::setId(unsigned long long)
  0.00      0.00     0.00      332     0.00     0.00  domain::basicTriangulate(point)
  0.00      0.00     0.00      320     0.00     0.00  domain::partIndex(point)
  0.00      0.00     0.00      123     0.00     0.00  std::remove_reference<std::string&>::type&& std::move<std::string&>(std::string&)
  0.00      0.00     0.00      112     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.00     0.00      101     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::remove(unsigned int const&)
  0.00      0.00     0.00       80     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::sort()
  0.00      0.00     0.00       80     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::unique()
